social_class,race,age,sex,college_degree,income_category,religion,religious_service_freq,party_id_3cat,party_id_7cat,ft_hillary_clinton,ft_donald_trump,ft_libertarian_pres_cand,ft_green_pres_cand,ft_john_roberts,ft_pope_francis,ft_christian_fundamentalists,ft_feminists,ft_liberals,ft_labor_unions,ft_poor_people,ft_big_business,ft_conservatives,ft_us_supreme_court,ft_gay_men_and_lesbians,ft_congress,ft_rich_people,ft_muslims,ft_christians,ft_jews,ft_tea_party,ft_police,ft_transgender_people,ft_scientists,ft_black_lives_matter
Middle Class,White,60,Female,No College Degree,Between $50k and $100k,Undifferentiated Christian,Every Week,Democrat,Weak Democrat,70,15,60,NA,70,70,100,85,100,85,100,40,70,70,100,60,100,70,100,100,50,100,70,100,50
Working Class,White,89,Female,No College Degree,NA,Undifferentiated Christian,Every Week,Independent,"Independent, leans neither",24,44,NA,NA,59,49,62,17,14,15,52,15,50,39,14,39,50,61,85,60,28,86,13,49,1
NA,White,74,Female,College Degree,Less than $50k,Evangelical Protestant,Every Week,Republican,Strong Republican,1,100,70,50,70,50,100,40,50,50,100,60,70,60,50,70,85,15,100,70,85,85,40,85,0
Lower Class,Hispanic,64,Male,No College Degree,Less than $50k,Undifferentiated Christian,A Few Times a Year,Independent,"Independent, leans neither",61,3,16,61,70,84,98,70,61,71,86,31,85,50,51,50,14,69,84,99,84,85,70,85,84
NA,White,45,Female,No College Degree,Less than $50k,Evangelical Protestant,Every Week,Republican,Strong Republican,40,70,NA,NA,NA,51,69,0,30,46,66,46,98,41,52,60,50,67,98,63,NA,82,46,64,27
Working Class,White,81,Male,College Degree,Between $50k and $100k,Evangelical Protestant,Every Week,Republican,Strong Republican,1,100,51,51,85,41,99,41,31,39,86,70,99,31,1,31,85,41,NA,100,100,100,0,71,1
NA,Black,22,Male,No College Degree,Less than $50k,Evangelical Protestant,Almost Every Week,Independent,"Independent, leans neither",NA,0,53,1,6,0,53,1,0,2,85,0,0,12,1,3,0,81,50,55,1,0,0,6,96
Working Class,Hispanic,43,Male,No College Degree,Between $50k and $100k,Evangelical Protestant,Every Week,Independent,"Independent, leans Republican",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Class,White,71,Female,No College Degree,Less than $50k,Not Religious,NA,Democrat,Weak Democrat,100,0,50,50,50,70,50,100,70,70,100,60,40,70,100,15,85,100,100,100,70,60,100,100,100
Working Class,White,66,Male,No College Degree,Less than $50k,Evangelical Protestant,A Few Times a Year,Independent,"Independent, leans neither",40,61,51,50,73,99,70,79,51,70,77,50,75,96,20,51,32,1,77,61,56,97,39,96,1
Middle Class,White,56,Female,No College Degree,Between $100k and $250k,Mainline Protestant,NA,Republican,Strong Republican,0,89,NA,33,77,79,47,59,15,70,90,76,83,52,70,44,83,21,87,94,70,94,51,90,37
Middle Class,Other,66,Female,College Degree,NA,Not Religious,NA,Republican,Weak Republican,0,70,51,51,41,100,100,100,100,61,100,85,100,85,100,60,100,100,100,100,100,100,100,100,50
Upper Class,White,57,Female,College Degree,Between $100k and $250k,Not Religious,NA,Democrat,Strong Democrat,60,0,NA,NA,NA,NA,50,50,60,60,70,50,40,50,40,50,40,50,50,50,NA,50,30,70,50
Middle Class,White,77,Female,No College Degree,Less than $50k,Evangelical Protestant,NA,Democrat,Weak Democrat,15,100,50,50,70,50,85,50,0,50,60,50,100,75,50,50,50,50,100,50,50,85,30,50,50
Lower Class,White,33,Female,College Degree,Between $50k and $100k,Evangelical Protestant,Once or Twice a Month,Republican,Strong Republican,15,60,40,50,85,70,70,40,30,50,40,50,85,60,85,60,50,85,85,85,50,100,50,70,60
Middle Class,White,30,Female,College Degree,Between $50k and $100k,Mainline Protestant,Once or Twice a Month,Republican,Weak Republican,30,85,40,40,85,100,70,15,30,15,50,85,70,70,50,60,50,100,100,100,60,85,50,50,0
Working Class,White,50,Male,No College Degree,Between $50k and $100k,Not Religious,NA,Republican,Weak Republican,30,80,65,30,80,75,50,50,50,45,85,50,50,85,100,85,50,50,70,70,45,100,85,100,25
Working Class,Indigenous Americans,25,Female,No College Degree,Less than $50k,Undifferentiated Christian,NA,Democrat,Weak Democrat,70,0,50,50,50,50,50,50,50,50,85,50,50,50,100,50,50,50,50,50,50,50,100,50,100
Working Class,White,64,Female,No College Degree,Between $50k and $100k,Undifferentiated Christian,A Few Times a Year,Independent,"Independent, leans neither",1,60,85,40,51,100,40,84,70,61,86,51,85,70,100,50,70,60,86,85,60,85,100,85,70
Middle Class,White,NA,Male,College Degree,Less than $50k,Roman Catholic,NA,Independent,"Independent, leans Democrat",43,12,31,44,NA,51,27,67,59,50,54,60,40,50,57,43,62,61,50,50,23,70,60,79,55
Middle Class,Black,37,Male,No College Degree,Between $50k and $100k,Evangelical Protestant,A Few Times a Year,Democrat,Strong Democrat,70,1,32,51,50,95,75,71,85,85,61,41,17,50,50,1,42,51,75,50,1,16,50,51,69
Working Class,White,20,Female,No College Degree,Less than $50k,Undifferentiated Christian,Once or Twice a Month,Independent,"Independent, leans Republican",15,85,84,67,57,50,77,44,51,77,71,92,76,66,1,59,79,1,92,1,54,100,8,80,1
Middle Class,Black,70,Female,College Degree,Between $50k and $100k,Evangelical Protestant,Every Week,Republican,Weak Republican,30,70,50,50,60,50,85,30,15,60,85,70,85,40,30,15,70,70,100,85,60,100,15,70,40
Lower Class,White,23,Male,No College Degree,Less than $50k,Not Religious,NA,Democrat,Weak Democrat,31,61,54,51,57,69,50,33,1,54,60,49,52,37,26,48,46,31,62,33,62,60,31,75,1
NA,White,42,Male,College Degree,Less than $50k,Mainline Protestant,Once or Twice a Month,Independent,"Independent, leans Democrat",86,33,60,60,51,95,70,85,86,89,70,16,61,86,86,30,30,71,92,86,51,85,72,90,71
Working Class,White,36,Female,No College Degree,Less than $50k,Not Religious,NA,Independent,"Independent, leans Democrat",56,24,50,46,60,73,57,4,55,57,64,67,59,60,60,49,63,68,73,69,50,76,51,57,59
Lower Class,White,80,Male,College Degree,Less than $50k,Evangelical Protestant,Every Week,Republican,Strong Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lower Class,White,30,Female,No College Degree,Less than $50k,Evangelical Protestant,NA,Independent,"Independent, leans Democrat",0,70,50,50,50,40,100,50,40,90,100,60,60,80,100,50,50,20,100,90,50,80,50,80,50
Lower Class,Asian/Pacific Islander,50,Female,College Degree,Less than $50k,Roman Catholic,Every Week,Democrat,Strong Democrat,85,0,NA,15,50,100,39,100,51,85,70,48,50,51,83,51,26,61,70,76,0,50,77,70,70
Working Class,Black,55,Male,No College Degree,Less than $50k,Mainline Protestant,Once or Twice a Month,Democrat,NA,60,15,30,NA,NA,85,70,70,70,70,100,60,60,70,15,70,60,70,100,70,70,70,0,60,85
Working Class,White,70,Male,College Degree,Between $100k and $250k,Not Religious,NA,Democrat,Weak Democrat,32,42,31,51,NA,85,2,61,61,41,59,60,51,40,50,15,59,40,61,60,1,71,50,85,51
Middle Class,White,74,Male,College Degree,More than $250k,Other Religion,A Few Times a Year,Democrat,Strong Democrat,71,1,1,2,41,85,2,85,85,84,86,50,15,31,70,16,51,30,NA,69,1,50,70,99,85
NA,White,37,Male,College Degree,More than $250k,Not Religious,NA,Independent,"Independent, leans Republican",32,30,41,30,87,76,14,29,26,23,67,74,71,64,98,29,51,78,51,73,26,76,68,79,32
Working Class,White,75,Female,No College Degree,Less than $50k,Undifferentiated Christian,NA,Democrat,Strong Democrat,0,55,16,2,77,55,90,1,0,40,50,50,66,50,0,50,50,45,100,50,80,90,1,50,0
Middle Class,Black,69,Female,College Degree,Between $50k and $100k,Evangelical Protestant,Almost Every Week,Democrat,Strong Democrat,69,20,50,29,70,84,42,53,69,83,60,32,73,86,52,39,41,61,83,60,18,38,49,70,69
Middle Class,White,82,Male,No College Degree,Less than $50k,Not Religious,Never,Independent,"Independent, leans Republican",1,70,31,51,2,17,51,NA,17,16,84,40,100,50,50,15,50,50,51,50,98,51,50,40,32
Middle Class,White,70,Male,College Degree,Between $50k and $100k,Not Religious,NA,Republican,Strong Republican,1,84,51,50,50,69,60,31,1,31,60,51,85,31,69,16,51,16,70,84,60,85,51,70,0
Working Class,White,25,Male,No College Degree,Between $50k and $100k,Not Religious,Never,Independent,"Independent, leans neither",0,83,64,50,44,69,15,32,18,0,62,30,78,57,100,41,72,77,37,86,63,85,100,100,1
Middle Class,White,39,Female,College Degree,Between $50k and $100k,Undifferentiated Christian,Every Week,Republican,Weak Republican,60,0,40,40,60,60,70,30,50,50,100,15,30,60,50,60,15,100,60,85,50,70,50,60,85
Middle Class,White,25,Female,College Degree,Less than $50k,Mainline Protestant,A Few Times a Year,Independent,"Independent, leans Democrat",86,16,70,51,NA,82,49,82,75,60,70,50,51,50,94,50,73,98,87,100,50,69,86,58,50
Working Class,White,42,Female,No College Degree,Less than $50k,Undifferentiated Christian,NA,Democrat,Weak Democrat,15,60,52,51,50,50,50,51,50,71,61,32,50,17,51,17,4,30,100,52,52,100,51,50,42
Working Class,Black,76,Female,No College Degree,Less than $50k,Other Religion,Every Week,Democrat,Strong Democrat,100,15,NA,60,85,100,60,100,70,70,100,NA,40,NA,60,NA,NA,60,70,85,0,70,70,85,100
Middle Class,White,NA,Female,No College Degree,NA,Evangelical Protestant,Every Week,Republican,Weak Republican,3,60,50,50,60,40,50,40,40,40,50,60,70,60,50,60,50,50,60,50,70,70,50,70,50
NA,White,56,Female,No College Degree,Less than $50k,Evangelical Protestant,Every Week,Republican,Strong Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Class,White,63,Female,College Degree,Between $100k and $250k,Mainline Protestant,Once or Twice a Month,Independent,"Independent, leans neither",85,15,58,59,51,100,29,100,78,88,95,83,73,100,100,41,100,95,100,100,70,88,86,100,76
Middle Class,White,43,Male,No College Degree,Less than $50k,Undifferentiated Christian,Once or Twice a Month,Independent,"Independent, leans neither",50,75,50,50,50,95,50,60,60,50,60,50,60,60,0,60,80,0,100,60,40,100,0,100,50
Working Class,White,68,Female,No College Degree,NA,Roman Catholic,Almost Every Week,Independent,"Independent, leans neither",15,70,15,15,70,100,50,49,52,50,51,51,50,51,52,38,54,51,69,61,50,89,51,51,17
Working Class,White,65,Male,College Degree,Between $100k and $250k,Undifferentiated Christian,Once or Twice a Month,Independent,"Independent, leans Republican",40,15,50,40,70,70,50,50,50,60,60,50,60,70,40,40,60,30,70,60,40,70,40,70,30
Middle Class,White,87,Male,No College Degree,Between $50k and $100k,Roman Catholic,Every Week,Republican,Strong Republican,15,85,30,0,60,80,50,50,60,77,85,70,75,NA,85,60,90,60,100,95,50,95,87,100,10
Middle Class,White,45,Male,College Degree,Between $50k and $100k,Undifferentiated Christian,NA,Independent,"Independent, leans Republican",30,60,40,50,70,85,70,70,70,70,85,40,70,60,70,40,40,70,85,85,70,100,70,85,60
Upper Class,White,34,Male,College Degree,Between $100k and $250k,Not Religious,NA,Independent,"Independent, leans Democrat",40,16,50,51,50,87,1,86,85,70,85,42,41,70,85,16,70,69,70,70,31,71,70,98,50
Working Class,Hispanic,43,Male,No College Degree,Less than $50k,Roman Catholic,NA,Independent,"Independent, leans neither",15,30,50,50,70,70,40,40,40,70,70,40,30,85,50,15,40,70,60,60,60,85,40,85,30
Middle Class,White,55,Female,College Degree,NA,NA,A Few Times a Year,Democrat,Strong Democrat,70,0,40,70,30,100,15,100,85,100,100,15,30,60,100,15,40,100,100,100,15,85,100,100,100
Lower Class,White,65,Female,No College Degree,Less than $50k,Evangelical Protestant,NA,Democrat,Weak Democrat,33,55,2,3,54,98,51,34,53,1,62,43,51,52,69,28,32,51,78,54,66,70,63,74,62
Working Class,White,40,Male,No College Degree,Between $50k and $100k,Roman Catholic,A Few Times a Year,Republican,Strong Republican,2,99,0,0,70,85,100,30,0,2,50,15,98,70,30,70,50,40,100,50,85,100,0,70,0
Middle Class,White,55,Female,College Degree,Between $50k and $100k,Roman Catholic,Once or Twice a Month,Independent,"Independent, leans Democrat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Working Class,White,25,Female,College Degree,Between $100k and $250k,Roman Catholic,Every Week,Independent,"Independent, leans Republican",0,60,0,0,60,70,60,0,0,40,70,15,85,70,15,40,30,0,60,60,85,100,50,50,0
Working Class,White,62,Male,College Degree,Between $100k and $250k,Evangelical Protestant,A Few Times a Year,Independent,"Independent, leans Republican",15,100,50,60,70,70,85,85,70,85,85,85,85,60,85,60,85,85,100,85,85,85,85,85,40
Middle Class,Other,60,Female,College Degree,Between $50k and $100k,Undifferentiated Christian,A Few Times a Year,Democrat,Weak Democrat,60,0,40,48,50,70,50,60,60,85,60,15,18,40,70,60,18,40,70,70,0,15,60,60,85
Middle Class,White,53,Female,No College Degree,Less than $50k,Undifferentiated Christian,Every Week,Independent,"Independent, leans neither",15,15,50,50,50,60,100,100,85,50,100,85,100,100,100,60,60,50,100,100,50,100,100,100,100
Middle Class,White,67,Female,No College Degree,Less than $50k,Roman Catholic,A Few Times a Year,Democrat,Strong Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Working Class,White,49,Male,No College Degree,Between $50k and $100k,Mainline Protestant,NA,Other,"Independent, leans Republican",0,85,30,85,15,15,60,70,40,40,85,15,70,30,85,30,30,40,85,85,85,85,85,85,15
Working Class,Black,34,Female,No College Degree,Between $50k and $100k,Undifferentiated Christian,NA,Democrat,Strong Democrat,61,0,50,54,17,50,89,100,97,93,100,91,32,61,100,70,81,51,100,100,50,12,100,100,100
Lower Class,Black,42,Female,College Degree,Less than $50k,Other Religion,Once or Twice a Month,Other,"Independent, leans neither",100,0,NA,NA,85,85,30,NA,15,30,NA,70,15,15,NA,NA,50,85,15,15,15,60,30,60,85
NA,Black,37,Female,College Degree,Between $100k and $250k,Evangelical Protestant,Almost Every Week,Democrat,Strong Democrat,72,0,NA,53,51,62,50,50,50,50,49,59,50,50,50,40,50,55,80,50,50,10,50,70,90
Working Class,White,54,Female,College Degree,Between $50k and $100k,Jewish,A Few Times a Year,Republican,Weak Republican,2,60,NA,51,51,86,30,31,39,41,50,50,59,32,51,15,51,31,52,98,31,86,50,61,2
Middle Class,White,29,Male,College Degree,Between $100k and $250k,Not Religious,NA,Democrat,Weak Democrat,61,2,16,16,51,51,17,85,61,50,90,31,17,31,87,41,40,86,16,87,30,41,87,100,88
Working Class,Other,70,Male,No College Degree,Less than $50k,Evangelical Protestant,NA,Other,"Independent, leans Republican",0,100,NA,NA,NA,0,0,0,0,100,100,100,100,50,0,100,85,0,100,100,50,100,0,60,0
Upper Class,Other,20,Male,No College Degree,More than $250k,Roman Catholic,A Few Times a Year,Independent,"Independent, leans neither",70,8,51,54,47,81,17,85,85,77,76,72,47,79,85,18,68,85,84,86,4,82,84,84,83
Middle Class,White,NA,NA,NA,NA,Undifferentiated Christian,Every Week,Democrat,Strong Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Working Class,White,48,Female,College Degree,Between $100k and $250k,Evangelical Protestant,Every Week,Republican,Strong Republican,0,100,40,50,50,50,70,40,0,30,50,50,100,30,40,60,50,40,100,85,50,85,40,60,0
Working Class,White,58,Male,No College Degree,Less than $50k,Undifferentiated Christian,Every Week,Republican,Strong Republican,4,62,NA,3,52,17,93,50,2,41,79,52,77,31,7,51,65,1,99,92,78,70,5,32,1
Upper Class,Asian/Pacific Islander,61,Male,College Degree,NA,Undifferentiated Christian,Every Week,Independent,"Independent, leans neither",20,10,50,50,50,60,30,40,30,60,80,40,30,75,50,20,70,75,70,75,60,80,60,85,70
Middle Class,White,90,Male,No College Degree,Less than $50k,Mainline Protestant,NA,Republican,Strong Republican,3,71,50,NA,71,50,70,1,31,71,71,86,70,31,1,41,86,1,99,100,50,99,32,99,51
Middle Class,White,88,Male,College Degree,Between $50k and $100k,Not Religious,NA,Independent,"Independent, leans neither",33,70,62,18,71,52,42,62,61,62,71,62,61,62,63,42,72,43,61,72,62,72,63,72,18
Middle Class,White,32,Male,College Degree,Between $100k and $250k,Not Religious,NA,Independent,"Independent, leans Democrat",70,1,70,63,31,96,1,95,100,85,85,31,30,60,100,1,30,95,40,95,1,71,100,100,85
Middle Class,White,28,Male,College Degree,Between $50k and $100k,Evangelical Protestant,Every Week,Republican,Weak Republican,1,61,69,NA,NA,NA,45,1,1,36,70,55,NA,38,16,20,51,1,99,32,42,99,3,17,2
Working Class,NA,NA,Male,College Degree,Between $50k and $100k,Roman Catholic,Every Week,Republican,Weak Republican,15,60,50,50,50,100,85,15,40,40,100,85,100,15,50,30,50,70,100,100,85,85,50,85,30
Lower Class,Indigenous Americans,62,Male,No College Degree,Less than $50k,Not Religious,NA,Independent,"Independent, leans Democrat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,White,78,Female,College Degree,Less than $50k,Jewish,Once or Twice a Month,Democrat,Strong Democrat,70,15,51,70,60,85,40,85,85,70,70,60,40,85,85,40,60,70,85,100,30,100,70,100,85
Middle Class,White,63,Female,College Degree,Between $100k and $250k,Undifferentiated Christian,NA,Democrat,Weak Democrat,86,0,30,51,71,99,31,99,86,85,84,42,31,71,86,30,50,85,51,99,15,85,85,100,70
Lower Class,White,54,Female,No College Degree,Less than $50k,Not Religious,NA,Democrat,Strong Democrat,85,15,0,18,51,86,43,71,83,88,98,17,45,72,86,33,49,87,67,90,8,77,86,88,85
NA,Asian/Pacific Islander,58,Female,No College Degree,Less than $50k,Mainline Protestant,A Few Times a Year,Democrat,Strong Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Working Class,White,81,Male,No College Degree,Between $100k and $250k,Evangelical Protestant,Almost Every Week,Democrat,Weak Democrat,59,51,31,31,60,86,70,50,50,50,85,50,50,70,50,60,61,40,85,99,41,85,50,85,40
Middle Class,White,59,Male,No College Degree,Between $100k and $250k,Evangelical Protestant,A Few Times a Year,Republican,Strong Republican,0,100,50,50,85,100,70,30,0,70,85,85,100,70,85,50,85,50,100,100,50,100,40,85,0
Middle Class,White,42,Female,College Degree,Between $50k and $100k,Not Religious,NA,Independent,"Independent, leans Republican",40,15,50,50,50,50,50,30,50,50,50,65,50,60,50,50,65,50,50,50,50,50,50,85,50
Working Class,White,60,Female,No College Degree,Between $50k and $100k,Mainline Protestant,Almost Every Week,Republican,Strong Republican,0,60,50,50,50,85,50,70,15,15,60,60,85,60,50,60,60,30,70,50,85,60,50,70,50
NA,Black,41,Female,College Degree,Between $100k and $250k,Undifferentiated Christian,Once or Twice a Month,Democrat,Strong Democrat,98,1,32,3,3,71,89,84,84,85,90,61,41,59,86,59,69,83,86,87,49,71,68,85,98
Middle Class,Hispanic,34,Male,College Degree,Between $100k and $250k,Roman Catholic,NA,Republican,Strong Republican,10,40,65,50,50,75,35,50,40,25,40,70,80,80,70,60,85,60,50,60,50,75,70,60,55
Middle Class,Black,55,Female,College Degree,NA,Evangelical Protestant,Once or Twice a Month,Democrat,Strong Democrat,100,0,50,50,50,85,50,70,60,100,100,60,50,85,50,60,85,85,100,85,30,85,50,85,85
Working Class,White,72,Female,College Degree,Between $50k and $100k,Evangelical Protestant,Every Week,Republican,Strong Republican,0,70,50,50,85,50,100,40,0,0,70,40,100,70,0,15,50,0,100,50,70,100,30,60,40
Middle Class,White,58,Male,College Degree,Between $100k and $250k,Roman Catholic,Once or Twice a Month,Independent,"Independent, leans Democrat",70,15,40,50,50,85,30,50,50,40,70,40,40,70,50,40,50,60,60,70,30,70,50,50,50
Working Class,Asian/Pacific Islander,54,Female,College Degree,Between $50k and $100k,Roman Catholic,Every Week,Democrat,Strong Democrat,100,0,50,50,85,100,0,100,100,100,100,70,0,85,100,0,60,85,100,70,0,85,100,100,85
Working Class,Asian/Pacific Islander,37,Female,College Degree,Between $50k and $100k,Not Religious,NA,Democrat,Weak Democrat,70,17,50,50,61,50,55,52,50,52,40,54,54,59,54,51,51,33,65,50,43,33,51,70,40
Working Class,White,33,Female,No College Degree,Between $100k and $250k,Other Religion,NA,Independent,"Independent, leans Republican",0,0,50,50,50,0,0,60,50,50,50,50,60,50,60,50,50,50,0,50,60,50,50,70,50
Middle Class,White,63,Male,No College Degree,Between $100k and $250k,Roman Catholic,Almost Every Week,Independent,"Independent, leans neither",84,71,51,50,50,98,50,50,50,51,84,49,50,85,50,71,50,50,84,50,49,85,48,85,60
Middle Class,White,64,Female,College Degree,Between $100k and $250k,Mainline Protestant,Once or Twice a Month,Republican,Strong Republican,30,50,50,50,40,85,15,30,0,15,85,70,100,50,50,40,70,50,85,85,30,85,50,100,15
Middle Class,White,56,Female,No College Degree,Between $100k and $250k,Not Religious,NA,Democrat,Strong Democrat,86,0,15,16,51,60,2,75,85,85,83,32,18,51,84,1,7,72,16,30,2,71,77,86,59
Lower Class,White,51,Male,No College Degree,Less than $50k,Evangelical Protestant,Once or Twice a Month,Republican,Strong Republican,0,100,60,50,60,30,100,50,0,0,100,50,100,60,50,40,100,40,100,100,100,85,0,100,0
Working Class,White,34,Male,College Degree,Between $50k and $100k,Undifferentiated Christian,NA,Republican,Weak Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Working Class,Asian/Pacific Islander,68,Male,College Degree,Between $50k and $100k,Other Religion,A Few Times a Year,Independent,"Independent, leans neither",59,76,51,80,41,36,54,47,60,50,84,57,60,41,43,7,71,3,53,85,75,98,32,85,1
Middle Class,White,63,Female,No College Degree,Less than $50k,Roman Catholic,Once or Twice a Month,Democrat,Weak Democrat,96,5,46,85,50,100,44,85,90,98,93,56,70,80,92,66,90,92,91,93,24,92,96,93,94
NA,White,32,Male,College Degree,Less than $50k,Not Religious,NA,Independent,"Independent, leans Democrat",40,10,79,52,50,100,0,60,15,50,100,30,15,85,90,15,40,85,70,85,0,100,70,100,85
Working Class,White,39,Female,College Degree,Between $50k and $100k,Roman Catholic,Never,Democrat,Strong Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Class,White,56,Male,No College Degree,Between $100k and $250k,Roman Catholic,A Few Times a Year,Other,"Independent, leans Republican",40,60,15,50,70,100,70,60,50,70,85,70,70,85,85,60,70,70,85,85,60,85,85,85,70
Middle Class,Other,53,Female,College Degree,Between $50k and $100k,Roman Catholic,A Few Times a Year,Democrat,Strong Democrat,100,0,50,50,60,100,40,50,85,85,50,40,30,30,50,15,50,100,85,100,70,40,50,100,100
Middle Class,Black,63,NA,College Degree,Less than $50k,Evangelical Protestant,Almost Every Week,Democrat,Strong Democrat,98,0,NA,58,39,69,36,47,30,25,64,28,30,50,60,50,0,23,66,45,2,40,60,30,59
Middle Class,White,55,Female,College Degree,Between $50k and $100k,Evangelical Protestant,Every Week,Republican,Weak Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Working Class,White,23,Male,No College Degree,Less than $50k,Not Religious,NA,Independent,"Independent, leans neither",30,45,50,58,NA,50,50,55,40,53,50,45,50,40,55,46,55,60,72,51,50,79,50,86,44
Middle Class,White,55,Male,No College Degree,Between $100k and $250k,Evangelical Protestant,A Few Times a Year,Republican,Weak Republican,0,60,50,50,50,50,NA,NA,15,40,NA,50,70,40,0,15,NA,0,100,85,NA,85,NA,NA,15
Middle Class,White,66,Male,College Degree,More than $250k,Mainline Protestant,NA,Republican,Weak Republican,30,0,70,NA,NA,50,15,50,40,30,50,60,70,50,40,30,40,15,50,50,70,40,15,85,30
Middle Class,White,68,Female,No College Degree,Less than $50k,Roman Catholic,NA,Democrat,Strong Democrat,51,100,NA,NA,NA,85,60,40,60,50,85,60,60,70,40,40,70,50,100,40,50,100,50,100,40
Middle Class,White,68,Female,No College Degree,Between $100k and $250k,Mainline Protestant,NA,Democrat,Strong Democrat,95,1,50,50,51,95,2,86,86,84,84,31,16,61,50,16,60,85,2,50,1,85,51,95,60
NA,White,88,Male,No College Degree,Less than $50k,Roman Catholic,A Few Times a Year,Republican,Weak Republican,100,0,60,NA,50,100,50,100,85,85,85,70,70,85,85,70,0,70,100,100,50,100,85,100,50
Middle Class,Hispanic,76,Male,College Degree,Less than $50k,Roman Catholic,Almost Every Week,Republican,Strong Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,White,44,Female,No College Degree,Less than $50k,Evangelical Protestant,Every Week,Republican,Weak Republican,16,62,52,54,53,70,72,50,15,72,91,66,86,54,29,55,81,15,100,83,68,82,22,68,1
Middle Class,White,31,Female,College Degree,Between $50k and $100k,Other Religion,Every Week,Independent,"Independent, leans Republican",30,15,40,50,50,85,NA,70,50,60,70,40,70,70,50,40,40,70,100,85,40,85,50,70,15
NA,White,39,Male,No College Degree,Between $50k and $100k,Not Religious,NA,Independent,"Independent, leans Democrat",33,16,61,50,50,68,0,74,80,99,62,55,30,73,65,39,60,61,1,59,85,61,63,93,74
Working Class,White,47,Female,No College Degree,Between $50k and $100k,Not Religious,NA,Other,"Independent, leans Democrat",85,0,0,0,50,40,0,100,85,60,100,0,0,40,100,0,50,85,15,100,0,85,100,85,70
Working Class,White,67,Female,No College Degree,Between $50k and $100k,Roman Catholic,NA,Democrat,Strong Democrat,69,52,NA,NA,NA,98,61,51,51,52,62,50,50,51,0,14,40,27,73,66,53,83,16,60,60
NA,Hispanic,66,Female,No College Degree,Less than $50k,Not Religious,NA,Democrat,Weak Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Class,White,53,Female,No College Degree,Between $50k and $100k,Roman Catholic,A Few Times a Year,Independent,"Independent, leans Republican",60,0,50,50,50,100,30,70,50,50,60,40,40,50,60,30,40,50,85,85,50,70,50,60,50
NA,White,19,Female,No College Degree,Less than $50k,Not Religious,NA,Independent,"Independent, leans Democrat",70,0,50,50,60,60,40,60,50,60,85,40,60,85,60,0,85,70,85,60,40,70,70,85,70
NA,White,67,Female,No College Degree,Less than $50k,Not Religious,NA,Independent,"Independent, leans neither",60,50,50,51,51,53,50,62,51,61,70,41,50,16,60,17,31,52,86,52,0,62,41,61,51
NA,White,51,Female,No College Degree,Between $50k and $100k,Roman Catholic,NA,Independent,"Independent, leans neither",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Working Class,Hispanic,46,Male,No College Degree,Less than $50k,Roman Catholic,A Few Times a Year,Democrat,Strong Democrat,100,0,70,NA,70,50,70,50,15,50,100,85,70,100,0,85,50,0,100,15,50,70,0,100,30
NA,White,57,Female,No College Degree,Less than $50k,Undifferentiated Christian,Almost Every Week,Republican,Strong Republican,0,100,0,50,60,100,85,60,50,0,85,100,85,100,0,85,70,0,100,100,50,100,0,100,40
